opportunity_id,lead_id,customer_id,opportunity_created_date,stage,annual_contract_value,close_date,sales_owner
O00001,L00003,C0082,11/5/2025,Closed Won,10800,1/15/2026,Taylor Evans
O00002,L00005,C0268,3/28/2026,Closed Won,10800,5/10/2026,Parker Brooks
O00003,L00006,C0205,10/1/2025,Closed Won,120000,11/3/2025,Quinn Howard
O00004,L00009,C0078,7/20/2026,Closed Won,120000,10/28/2026,Avery Ibrahim
O00005,L00011,C0021,10/30/2025,Closed Won,74400,1/13/2026,Quinn Evans
O00006,L00012,C0059,7/11/2026,Closed Won,28800,9/19/2026,Riley Jones
O00007,L00014,,8/2/2025,Closed Lost,10800,11/2/2025,Quinn Brooks
O00008,L00019,C0069,1/12/2026,Closed Won,10800,2/27/2026,Avery Adams
O00009,L00020,C0298,3/30/2026,Closed Won,10800,7/21/2026,Avery Gupta
O00010,L00024,C0188,5/11/2026,Closed Won,10800,8/28/2026,Casey Brooks
O00011,L00029,,6/13/2026,Closed Lost,120000,7/9/2026,Casey Foster
O00012,L00036,,2/12/2025,Closed Lost,28800,4/23/2025,Quinn Brooks
O00013,L00038,,6/9/2026,Proposal,120000,,Casey Gupta
O00014,L00041,,8/5/2026,Proposal,28800,,Avery Howard
O00015,L00044,C0136,7/22/2025,Closed Won,10800,9/29/2025,Morgan Evans
O00016,L00050,C0292,7/4/2025,Closed Won,74400,9/13/2025,Morgan Howard
O00017,L00051,,5/14/2025,Closed Lost,10800,7/10/2025,Taylor Howard
O00018,L00052,C0044,9/24/2025,Closed Won,28800,1/11/2026,Cameron Foster
O00019,L00057,C0094,12/4/2025,Closed Won,28800,1/1/2026,Riley Foster
O00020,L00059,,10/29/2025,Closed Lost,28800,11/25/2025,Quinn Brooks
O00021,L00060,C0151,1/4/2026,Closed Won,10800,3/12/2026,Quinn Ibrahim
O00022,L00061,,3/7/2026,Discovery,10800,,Morgan Chen
O00023,L00068,,3/11/2026,Discovery,120000,,Casey Jones
O00024,L00070,C0206,8/9/2026,Closed Won,10800,9/1/2026,Parker Diaz
O00025,L00071,,4/21/2026,Discovery,74400,,Morgan Adams
O00026,L00073,C0219,5/4/2025,Closed Won,10800,8/5/2025,Jordan Ibrahim
O00027,L00076,,3/31/2025,Closed Lost,120000,6/29/2025,Avery Evans
O00028,L00077,C0189,2/11/2025,Closed Won,120000,3/13/2025,Reese Brooks
O00029,L00078,,8/29/2025,Closed Lost,10800,11/20/2025,Jordan Evans
O00030,L00081,C0179,5/1/2025,Closed Won,28800,8/6/2025,Morgan Chen
O00031,L00088,,2/26/2025,Closed Lost,28800,5/11/2025,Jordan Diaz
O00032,L00091,,7/25/2025,Proposal,120000,,Riley Jones
O00033,L00094,,11/15/2025,Proposal,10800,,Quinn Ibrahim
O00034,L00095,,5/27/2025,Discovery,10800,,Casey Jones
O00035,L00101,,2/24/2025,Discovery,74400,,Avery Evans
O00036,L00102,,6/2/2025,Closed Lost,28800,9/6/2025,Parker Jones
O00037,L00103,C0277,9/20/2025,Closed Won,28800,11/18/2025,Casey Chen
O00038,L00106,C0072,7/5/2026,Closed Won,28800,10/27/2026,Parker Gupta
O00039,L00109,,5/13/2026,Closed Lost,10800,7/19/2026,Avery Adams
O00040,L00118,,12/2/2025,Discovery,74400,,Riley Diaz
O00041,L00123,,7/25/2026,Closed Lost,120000,11/2/2026,Cameron Gupta
O00042,L00124,,10/15/2025,Proposal,120000,,Parker Chen
O00043,L00128,C0046,1/27/2025,Closed Won,28800,4/8/2025,Cameron Adams
O00044,L00130,,9/4/2026,Proposal,74400,,Taylor Ibrahim
